Año,Homicidios,Año_Anterior,Tasa_Homicidios,Tasa_Año_Anterior,Variacion
2016,63,0,2.0188347670264677,0.0,
2017,54,63,1.730429800308401,2.0188347670264677,-14.285714285714274
2018,57,54,1.8265647892144234,1.730429800308401,5.55555555555556
2019,50,57,1.6022498151003715,1.8265647892144234,-12.280701754385964
2020,27,50,0.8652149001542006,1.6022498151003715,-46.0
2021,45,27,1.4420248335903343,0.8652149001542006,66.66666666666667
